what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957594640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957605489
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957611178
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957721465
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957721983
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957723261
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957725745
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957733356
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228957743486
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228957743666
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957867688
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957950558
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1228957952282
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1228957953413
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957954076
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957955683
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228957960309
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228958311778
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228958316388
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228958415205
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1228958418214
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228958438092
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1228958438332
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228958438332
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228958447085
